Feature	Importance
uncharger.alphaticr.gap2	2.000000
uncharger.aromatic.gap2	2.000000
LG	2.000000
postivecharger.negativecharger.uncharger	2.000000
negativecharger.negativecharger.alphaticr	2.000000
uncharger.negativecharger.gap2	2.000000
VD	2.000000
RT	2.000000
PA	2.000000
postivecharge	2.000000
uncharger.postivecharger.uncharger	2.000000
postivecharger.uncharger.postivecharger	2.000000
RE	2.000000
SP	2.000000
aromatic.alphaticr.uncharger	2.000000
SN	2.000000
uncharger.alphaticr.negativecharger	2.000000
postivecharger.negativecharger.gap4	2.000000
postivecharger.postivecharger.uncharger	2.000000
LP	2.000000
alphaticr.uncharger.gap3	2.000000
alphaticr.postivecharger.gap4	2.000000
TA.gap4	1.000000
VF.gap4	1.000000
VD.gap4	1.000000
HM.gap2	1.000000
SY.gap4	1.000000
VL	1.000000
VW	1.000000
QV.gap3	1.000000
IA.gap2	1.000000
TE.gap4	1.000000
TF.gap4	1.000000
TL.gap4	1.000000
VM	1.000000
HN.gap2	1.000000
TW.gap4	1.000000
QQ.gap3	1.000000
VV	1.000000
HR.gap2	1.000000
LQ-feat	1.000000
LP-feat	1.000000
VR	1.000000
LN-feat	1.000000
WI.gap3	1.000000
SV.gap4	1.000000
NH-feat	1.000000
RK.gap3	1.000000
Moment	1.000000
KE.gap2	1.000000
RQ.gap3	1.000000
KG.gap2	1.000000
NE-feat	1.000000
QT.gap4	1.000000
NG-feat	1.000000
NI-feat	1.000000
IT.gap2	1.000000
KI.gap2	1.000000
WR	1.000000
RS.gap3	1.000000
RT.gap3	1.000000
KM.gap2	1.000000
NP-feat	1.000000
WT	1.000000
KR.gap2	1.000000
IV.gap2	1.000000
IS.gap2	1.000000
VY	1.000000
SF.gap4	1.000000
GE.gap3	1.000000
LW-feat	1.000000
LY-feat	1.000000
IG.gap2	1.000000
IH.gap2	1.000000
II.gap2	1.000000
SH.gap4	1.000000
SG.gap4	1.000000
MG-feat	1.000000
RI.gap3	1.000000
WF	1.000000
WG	1.000000
MK-feat	1.000000
RE.gap3	1.000000
RG.gap3	1.000000
RQ.gap4	1.000000
RN.gap4	1.000000
aromatic.uncharger.uncharger	1.000000
VH	1.000000
GS.gap2	1.000000
LF-feat	1.000000
GQ-feat	1.000000
SM	1.000000
YV.gap2	1.000000
K_S	1.000000
YT.gap2	1.000000
FH.gap2	1.000000
HG-feat	1.000000
HH-feat	1.000000
AY.gap1	1.000000
FM.gap2	1.000000
HM-feat	1.000000
postivecharger.postivecharger.negativecharger	1.000000
YP.gap2	1.000000
AY.gap5	1.000000
AW.gap5	1.000000
AQ.gap1	1.000000
AS.gap5	1.000000
AP.gap1	1.000000
AQ.gap5	1.000000
K_P	1.000000
AN.gap5	1.000000
SW	1.000000
PL.gap3	1.000000
DE.gap5	1.000000
QN.gap3	1.000000
SL	1.000000
RW	1.000000
EL.gap2	1.000000
RY	1.000000
EI.gap5	1.000000
EM.gap2	1.000000
SC	1.000000
AD.gap3	1.000000
SF	1.000000
SG	1.000000
YP.gap3	1.000000
PF.gap3	1.000000
DV.gap5	1.000000
GG-feat	1.000000
ET.gap2	1.000000
SH	1.000000
PI.gap3	1.000000
DM.gap5	1.000000
DL.gap5	1.000000
GN-feat	1.000000
DI.gap5	1.000000
EY.gap2	1.000000
SY	1.000000
HY-feat	1.000000
TC	1.000000
AF.gap5	1.000000
KD-feat	1.000000
postivecharger.aromatic.alphaticr	1.000000
PV.gap4	1.000000
TP	1.000000
KH-feat	1.000000
TQ	1.000000
postivecharger.alphaticr.negativecharger	1.000000
AH.gap1	1.000000
GY.gap2	1.000000
HA.gap2	1.000000
TT	1.000000
AE.gap1	1.000000
KV-feat	1.000000
TV	1.000000
VV.gap4	1.000000
HF.gap2	1.000000
aromatic.alphaticr.gap4	1.000000
YD.gap2	1.000000
VA	1.000000
LA-feat	1.000000
VF	1.000000
AK.gap1	1.000000
KA-feat	1.000000
GP.gap2	1.000000
postivecharger.aromatic.uncharger	1.000000
IA-feat	1.000000
AM.gap1	1.000000
GD.gap2	1.000000
GE.gap2	1.000000
AL.gap1	1.000000
YV.gap4	1.000000
YT.gap4	1.000000
TG	1.000000
IF-feat	1.000000
GH.gap2	1.000000
IV-feat	1.000000
K_L	1.000000
TK	1.000000
YK.gap4	1.000000
YI.gap4	1.000000
aromatic.aromatic.gap4	1.000000
GL.gap2	1.000000
GM.gap2	1.000000
TN	1.000000
IT-feat	1.000000
SA.gap3	1.000000
NV.gap4	1.000000
PT.gap4	1.000000
TR-feat	1.000000
FN.gap4	1.000000
QI.gap2	1.000000
FI.gap4	1.000000
FG.gap4	1.000000
TM-feat	1.000000
FE.gap4	1.000000
HG	1.000000
FA.gap4	1.000000
EY.gap4	1.000000
TQ-feat	1.000000
ET.gap4	1.000000
E_N	1.000000
TD.gap2	1.000000
ER.gap4	1.000000
EQ.gap4	1.000000
alphaticr.negativecharger.aromatic	1.000000
uncharger.alphaticr.gap1	1.000000
SY.gap2	1.000000
EK.gap4	1.000000
EI.gap4	1.000000
EH.gap4	1.000000
VA-feat	1.000000
QG.gap2	1.000000
postivecharger.negativecharger.gap1	1.000000
PS.gap4	1.000000
PQ.gap2	1.000000
HL.gap4	1.000000
HK.gap4	1.000000
SN-feat	1.000000
VL.gap3	1.000000
HF.gap4	1.000000
PK.gap2	1.000000
negativecharger.postivecharger.gap0	1.000000
negativecharger.negativecharger.gap0	1.000000
VS.gap3	1.000000
GS.gap4	1.000000
uncharger.uncharger.gap0	1.000000
QE.gap2	1.000000
VV.gap3	1.000000
GL.gap4	1.000000
VW.gap3	1.000000
PV.gap2	1.000000
TM.gap2	1.000000
aromatic.alphaticr.gap1	1.000000
TA-feat	1.000000
GC.gap4	1.000000
aromatic.postivecharger.gap1	1.000000
postivecharger.alphaticr.gap1	1.000000
VC-feat	1.000000
uncharger.negativecharger.gap1	1.000000
uncharger.uncharger.gap1	1.000000
SA.gap2	1.000000
RS.gap2	1.000000
WN-feat	1.000000
alphaticr.uncharger.postivecharger	1.000000
postivecharger.negativecharger.gap2	1.000000
WR-feat	1.000000
negativecharger.postivecharger.gap2	1.000000
RY.gap2	1.000000
AQ.gap4	1.000000
negativecharger.uncharger.gap2	1.000000
AN.gap4	1.000000
AH.gap4	1.000000
DY.gap4	1.000000
aromatic.alphaticr.alphaticr	1.000000
uncharger.uncharger.gap2	1.000000
G_T	1.000000
alphaticr.postivecharger.gap3	1.000000
YA-feat	1.000000
YW.gap3	1.000000
YE-feat	1.000000
YT.gap3	1.000000
YS.gap3	1.000000
alphaticr.negativecharger.gap3	1.000000
YH.gap3	1.000000
aromatic.alphaticr.aromatic	1.000000
RP.gap2	1.000000
RN.gap2	1.000000
alphaticr.postivecharger.gap2	1.000000
YV-feat	1.000000
DR.gap4	1.000000
ST.gap2	1.000000
VL-feat	1.000000
YS-feat	1.000000
DL.gap4	1.000000
aromatic.alphaticr.gap2	1.000000
DI.gap4	1.000000
DH.gap4	1.000000
DE.gap4	1.000000
DD.gap4	1.000000
VQ-feat	1.000000
DA.gap4	1.000000
postivecharger.alphaticr.gap2	1.000000
SP.gap2	1.000000
VW-feat	1.000000
E_K	1.000000
postivecharger.aromatic.gap2	1.000000
YE.gap3	1.000000
aromatic.alphaticr.postivecharger	1.000000
PF.gap2	1.000000
VK.gap3	1.000000
E_E	1.000000
TE.gap3	1.000000
YK	1.000000
NA.gap4	1.000000
QA-feat	1.000000
alphaticr.alphaticr.uncharger	1.000000
MV.gap4	1.000000
MA.gap2	1.000000
QF-feat	1.000000
aromatic.postivecharger.postivecharger	1.000000
QK-feat	1.000000
VI.gap2	1.000000
MI.gap2	1.000000
LQ.gap4	1.000000
MK.gap2	1.000000
MG.gap4	1.000000
ML.gap2	1.000000
ME.gap4	1.000000
TF.gap3	1.000000
YN	1.000000
MP.gap2	1.000000
QT-feat	1.000000
LV.gap4	1.000000
LS.gap4	1.000000
LS.gap2	1.000000
SR.gap3	1.000000
aromatic.postivecharger.negativecharger	1.000000
PQ-feat	1.000000
WY	1.000000
YA	1.000000
KY.gap2	1.000000
aromatic.negativecharger.negativecharger	1.000000
LD.gap2	1.000000
PI.gap4	1.000000
alphaticr.aromatic.gap4	1.000000
