Feature	Importance
WH-feat	0.000633
RP-feat	0.000631
QT-feat	0.000631
H_R	0.000630
KS-feat	0.000630
g3.g3.g1	0.000629
FM-feat	0.000626
LS-feat	0.000626
K_G	0.000623
HI-feat	0.000623
g6.g3.g3	0.000622
YV-feat	0.000620
AF-feat	0.000620
AN-feat	0.000618
IT-feat	0.000617
E_L	0.000617
MD-feat	0.000616
postivecharger.aromatic.uncharger	0.000616
K_N	0.000615
MS-feat	0.000614
RV-feat	0.000613
LN-feat	0.000612
DP-feat	0.000612
g3.g3.g2	0.000612
aromatic.postivecharger.aromatic	0.000610
postivecharger.uncharger.postivecharger	0.000608
MH-feat	0.000608
g2.g7.g3	0.000608
V_E	0.000607
g6.g1.g3	0.000606
g4.g3.g6	0.000605
VI-feat	0.000605
T_G	0.000602
g2.g6.g2	0.000600
MP-feat	0.000597
negativecharger.aromatic.alphaticr	0.000597
VH-feat	0.000596
H_D	0.000594
QK-feat	0.000594
g5.g2.g1	0.000594
VR-feat	0.000593
WR-feat	0.000592
FL-feat	0.000591
Y_F	0.000589
LP-feat	0.000588
uncharger.aromatic.alphaticr	0.000587
g6.g2.g4	0.000587
ML-feat	0.000587
g7.g1.g1	0.000587
g3.g5.g1	0.000585
IY-feat	0.000585
RL-feat	0.000582
hydrophobicity_FASG890101.G3	0.000579
L_V	0.000579
EN-feat	0.000577
uncharger.postivecharger.negativecharger	0.000576
A_D	0.000574
negativecharger.uncharger.aromatic	0.000574
WE-feat	0.000573
g4.g1.g6	0.000571
postivecharger.postivecharger.postivecharger	0.000569
Crosscorr_w5	0.000568
YI-feat	0.000568
EL-feat	0.000568
ND-feat	0.000566
G_T	0.000566
LC-feat	0.000564
DF-feat	0.000562
PP-feat	0.000561
L_I	0.000560
TN-feat	0.000560
postivecharger.aromatic.alphaticr	0.000558
aromatic.postivecharger.negativecharger	0.000558
negativecharger.aromatic.negativecharger	0.000557
E_D	0.000557
g4.g6.g4	0.000556
SF-feat	0.000554
g1.g2.g1	0.000552
g1.g2.g6	0.000551
aromatic.alphaticr.negativecharger	0.000551
K_I	0.000548
Crosscorr_w3	0.000545
g1.g2.g2	0.000544
aromatic.uncharger.alphaticr	0.000544
KN-feat	0.000544
uncharger.aromatic.aromatic	0.000543
RM-feat	0.000542
g1.g6.g1	0.000542
MI-feat	0.000541
g1.g3.g1	0.000541
TS-feat	0.000538
AC-feat	0.000538
g6.g4.g3	0.000538
H_L	0.000537
g3.g2.g2	0.000536
Autocorr_w5	0.000535
g3.g5.g3	0.000533
g5.g1.g3	0.000532
FT-feat	0.000532
g3.g3.g6	0.000531
AR-feat	0.000523
K_E	0.000523
g2.g6.g6	0.000521
postivecharger.alphaticr.uncharger	0.000519
g4.g2.g2	0.000517
g5.g5.g4	0.000516
negativecharger.negativecharger.postivecharger	0.000516
T_V	0.000515
g5.g4.g5	0.000515
I_P	0.000514
D_L	0.000512
uncharger.uncharger.alphaticr	0.000511
postivecharger.alphaticr.alphaticr	0.000511
g4.g1.g1	0.000510
g4.g4.g6	0.000509
postivecharger.negativecharger.postivecharger	0.000509
IS-feat	0.000509
g2.g6.g3	0.000509
postivecharger.aromatic.negativecharger	0.000508
II-feat	0.000505
ER-feat	0.000505
HT-feat	0.000505
g2.g1.g3	0.000504
V_D	0.000504
g4.g3.g3	0.000504
D_D	0.000502
NP-feat	0.000498
negativecharger.aromatic.postivecharger	0.000497
HF-feat	0.000496
g1.g6.g6	0.000495
g5.g4.g6	0.000495
C_Q	0.000493
g1.g4.g4	0.000493
N_Y	0.000486
PN-feat	0.000485
g1.g3.g2	0.000484
g4.g2.g3	0.000484
RN-feat	0.000484
D_V	0.000483
postivecharger.negativecharger.negativecharger	0.000482
FG-feat	0.000482
F_G	0.000480
FQ-feat	0.000480
G_L	0.000480
g4.g2.g4	0.000479
KT-feat	0.000478
Y_L	0.000476
G_H	0.000476
g3.g1.g4	0.000475
A_P	0.000470
NK-feat	0.000469
RK-feat	0.000468
aromatic.postivecharger.postivecharger	0.000467
D_E	0.000467
ET-feat	0.000466
Q_R	0.000465
g2.g4.g3	0.000465
IE-feat	0.000463
LF-feat	0.000463
SV-feat	0.000462
alphaticr.postivecharger.postivecharger	0.000460
YD-feat	0.000460
g4.g1.g5	0.000459
E_M	0.000459
negativecharger.uncharger.negativecharger	0.000459
G_D	0.000459
VM-feat	0.000459
SS-feat	0.000457
L_G	0.000457
uncharger.aromatic.negativecharger	0.000457
V_T	0.000456
YL-feat	0.000456
HM-feat	0.000456
HD-feat	0.000456
F_L	0.000455
MQ-feat	0.000454
EE-feat	0.000453
I_F	0.000450
g7.g1.g6	0.000448
g5.g5.g1	0.000448
g6.g6.g4	0.000447
D_S	0.000447
RC-feat	0.000445
Q_Y	0.000443
aromatic.negativecharger.aromatic	0.000442
VY-feat	0.000442
g3.g5.g5	0.000441
IP-feat	0.000440
W_I	0.000439
g4.g3.g4	0.000438
g5.g4.g4	0.000437
DD-feat	0.000436
N_K	0.000435
aromatic.uncharger.negativecharger	0.000432
YF-feat	0.000430
g5.g1.g4	0.000430
g1.g3.g3	0.000430
QM-feat	0.000429
alphaticr.aromatic.postivecharger	0.000428
RY-feat	0.000428
WA-feat	0.000428
KP-feat	0.000427
YS-feat	0.000425
WS-feat	0.000425
G_I	0.000425
postivecharger.negativecharger.uncharger	0.000425
MY-feat	0.000424
PS-feat	0.000424
TR-feat	0.000423
CA-feat	0.000422
QL-feat	0.000417
SH-feat	0.000417
ST-feat	0.000414
g2.g1.g6	0.000414
G_E	0.000413
g6.g1.g2	0.000413
uncharger.postivecharger.postivecharger	0.000411
KD-feat	0.000411
EV-feat	0.000410
S_E	0.000410
g6.g4.g2	0.000409
R_P	0.000407
QA-feat	0.000407
IN-feat	0.000405
YN-feat	0.000403
P_K	0.000402
g4.g6.g1	0.000401
g3.g6.g5	0.000401
DK-feat	0.000400
FE-feat	0.000400
g5.g7.g1	0.000399
g1.g5.g3	0.000399
M_C	0.000399
GE-feat	0.000398
TY-feat	0.000398
V_S	0.000397
AW-feat	0.000395
EQ-feat	0.000393
G_Y	0.000393
TH-feat	0.000390
RR-feat	0.000389
D_F	0.000389
QH-feat	0.000388
P_P	0.000388
FW-feat	0.000385
QV-feat	0.000385
FN-feat	0.000384
SY-feat	0.000383
MN-feat	0.000383
KH-feat	0.000382
K_V	0.000382
GY-feat	0.000382
I_S	0.000381
QG-feat	0.000380
postivecharger.postivecharger.aromatic	0.000378
g6.g4.g4	0.000377
I_E	0.000376
I_K	0.000376
NE-feat	0.000375
g2.g4.g5	0.000374
alphaticr.aromatic.aromatic	0.000373
negativecharger.uncharger.postivecharger	0.000370
hydrophobicity_ZIMJ680101.G2	0.000370
SL-feat	0.000369
QS-feat	0.000369
T_T	0.000367
Q_K	0.000367
H_N	0.000365
g1.g4.g2	0.000365
negativecharger.alphaticr.postivecharger	0.000365
MK-feat	0.000364
g4.g6.g3	0.000363
KV-feat	0.000363
PD-feat	0.000361
alphaticr.negativecharger.aromatic	0.000361
SQ-feat	0.000360
ES-feat	0.000359
g4.g5.g3	0.000359
C_V	0.000358
E_T	0.000358
g7.g3.g5	0.000357
K_S	0.000354
PH-feat	0.000353
TK-feat	0.000352
Q_G	0.000351
F_E	0.000351
negativecharger.negativecharger.negativecharger	0.000350
S_A	0.000350
g6.g5.g6	0.000349
EK-feat	0.000349
g3.g3.g3	0.000348
g6.g4.g1	0.000348
FY-feat	0.000348
G_Q	0.000346
V_K	0.000343
L_N	0.000343
A_R	0.000342
YQ-feat	0.000341
Y_C	0.000339
M_T	0.000339
N_S	0.000338
negativecharger.postivecharger.negativecharger	0.000338
G_A	0.000338
g5.g5.g6	0.000337
Y_P	0.000337
G_G	0.000337
F_D	0.000336
GN-feat	0.000334
P_T	0.000333
